online_order,book_table,rate,votes,cost,BTM,Banashankari,Banaswadi,Bannerghatta Road,Basavanagudi,Basaveshwara Nagar,Bellandur
1,0,3.6,46,6.214608098,0,1,0,0,0,0,0
1,0,3.5,45,5.857933154,0,0,0,0,0,0,0
1,0,3.9,38,5.010635294,0,1,0,0,0,0,0
1,0,3.9,441,5.991464547,0,1,0,0,0,0,0
1,0,3.9,25,4.605170186,0,0,0,0,1,0,0
1,0,4.3,630,5.298317367,0,0,0,0,0,0,0
1,0,3.8,25,5.010635294,0,0,0,0,0,0,0
1,0,3.9,160,5.703782475,0,0,0,0,0,0,0
1,0,4.2,287,5.857933154,0,1,0,0,0,0,0
1,0,3.6,11,4.605170186,0,0,0,0,1,0,0
1,0,4.1,402,6.214608098,0,1,0,0,0,0,0
1,0,3.8,469,6.620073207,0,0,0,0,1,0,0
1,0,3.3,511,6.309918278,0,0,0,0,0,0,0
1,0,3.9,57,5.298317367,0,1,0,0,0,0,0
1,0,3.4,14,5.703782475,0,1,0,0,0,0,0
1,0,3.9,264,5.298317367,0,1,0,0,0,0,0
1,0,3,62,5.991464547,0,1,0,0,0,0,0
1,0,3.8,693,6.620073207,0,1,0,0,0,0,0
1,0,3.8,242,6.476972363,0,0,0,0,0,0,0
1,0,3.6,27,5.521460918,0,0,0,0,1,0,0
1,0,4.1,163,6.214608098,0,0,0,0,1,0,0
1,0,4.2,191,5.521460918,0,0,0,0,1,0,0
1,0,3.5,32,5.010635294,0,1,0,0,0,0,0
1,0,2.5,247,6.214608098,0,1,0,0,0,0,0
1,1,4.1,2339,7.313220387,0,0,0,0,0,0,0
1,0,4.1,337,5.703782475,0,0,0,0,0,0,0
1,0,3.9,135,6.684611728,0,1,0,0,0,0,0
1,0,3.6,172,6.551080335,0,0,0,0,0,0,0
1,0,3.6,105,6.551080335,0,1,0,0,0,0,0
1,0,4.2,504,6.309918278,0,1,0,0,0,0,0
1,0,3.2,36,5.298317367,0,0,0,0,0,0,0
1,0,3.1,39,5.703782475,0,0,0,0,0,0,0
1,0,3.1,5,6.214608098,0,0,0,0,0,0,0
1,0,3.700448818,0,5.703782475,0,0,0,0,1,0,0
1,1,4.3,1129,7.170119543,0,0,0,0,0,0,0
1,0,3.9,56,5.857933154,0,0,0,0,0,0,0
1,0,4.3,860,6.214608098,0,1,0,0,0,0,0
1,0,3.8,412,6.551080335,0,0,0,0,0,0,0
1,1,3.9,142,6.907755279,0,0,0,0,0,0,0
1,0,3,23,5.991464547,0,0,0,0,0,0,0
1,0,3.6,143,6.620073207,0,0,0,0,0,0,0
1,1,2.8,80,6.214608098,0,0,0,0,0,0,0
1,0,3.6,16,5.991464547,0,0,0,0,0,0,0
1,0,4.4,181,5.521460918,0,0,0,0,0,0,0
1,0,3.8,70,5.298317367,0,0,0,0,0,0,0
1,0,3.8,164,6.396929655,0,0,0,0,1,0,0
1,0,3.6,58,6.476972363,0,0,0,0,0,0,0
0,0,3.8,148,6.309918278,0,0,0,0,1,0,0
0,0,3.9,206,6.109247583,0,0,0,0,1,0,0
0,0,3.700448818,0,5.703782475,0,0,0,0,1,0,0
0,0,3.700448818,0,5.298317367,0,0,0,0,0,0,0
0,0,3.6,16,5.703782475,0,0,0,0,0,0,0
0,0,3.7,217,6.109247583,0,0,0,0,1,0,0
0,0,3.6,46,6.109247583,0,0,0,0,1,0,0
0,0,3.8,148,5.010635294,0,0,0,0,1,0,0
0,0,3.4,30,5.521460918,0,0,0,0,1,0,0
0,0,3.6,8,6.684611728,0,0,0,0,0,0,0
0,0,3.3,4,5.521460918,0,0,0,0,0,0,0
0,0,3.5,15,5.991464547,0,0,0,0,1,0,0
0,0,3.700448818,0,4.605170186,0,0,0,0,1,0,0
0,0,3.700448818,0,5.703782475,0,0,0,0,0,0,0
0,0,3.700448818,0,5.298317367,0,0,0,0,0,0,0
1,0,3.4,9,5.298317367,0,0,0,0,0,0,0
0,0,3.700448818,0,5.857933154,0,0,0,0,0,0,0
1,0,3.7,31,5.703782475,0,0,0,0,0,0,0
1,0,2.9,177,6.551080335,0,0,0,0,0,0,0
1,0,3.7,22,5.521460918,0,0,0,0,1,0,0
1,0,3.5,10,4.605170186,0,0,0,0,0,0,0
1,0,3.7,136,6.396929655,0,1,0,0,0,0,0
1,0,2.9,35,5.521460918,0,0,0,0,0,0,0
1,0,4.1,185,5.298317367,0,0,0,0,0,0,0
1,0,3.2,17,6.802394763,0,0,0,0,0,0,0
1,0,3.8,155,5.991464547,0,0,0,0,0,0,0
1,0,3.8,42,5.703782475,0,1,0,0,0,0,0
1,0,3.8,286,6.396929655,0,0,0,0,1,0,0
1,0,3.8,160,6.551080335,0,1,0,0,0,0,0
1,0,3.8,59,6.620073207,0,1,0,0,0,0,0
1,0,3.5,90,6.214608098,0,0,0,0,0,0,0
1,0,3.7,51,5.857933154,0,0,0,0,0,0,0
1,0,4,89,5.298317367,0,0,0,0,0,0,0
1,0,3.6,18,5.521460918,0,1,0,0,0,0,0
1,0,3.9,40,6.396929655,0,0,0,0,1,0,0
1,0,2.5,35,5.298317367,0,0,0,0,1,0,0
1,0,3.4,89,5.521460918,0,0,0,0,0,0,0
1,0,3.2,11,5.010635294,0,0,0,0,1,0,0
1,0,3.6,62,6.396929655,0,1,0,0,0,0,0
1,0,3.9,33,5.703782475,0,0,0,0,0,0,0
1,0,3.8,32,5.521460918,0,0,0,0,0,0,0
1,0,4.1,139,6.309918278,0,0,0,0,0,0,0
1,0,3.2,154,5.703782475,0,0,0,0,0,0,0
1,0,3.6,14,5.857933154,0,1,0,0,0,0,0
1,0,3.7,237,5.298317367,0,1,0,0,0,0,0
1,0,3.9,388,6.476972363,0,1,0,0,0,0,0
1,0,3.9,128,6.214608098,0,0,0,0,0,0,0
1,1,4.1,1875,7.090076836,0,0,0,0,0,0,0
1,0,3.8,90,6.476972363,0,1,0,0,0,0,0
1,0,3.1,7,5.521460918,0,0,0,0,0,0,0
1,0,3.7,38,5.991464547,0,0,0,0,0,0,0
1,0,4.2,179,6.396929655,0,1,0,0,0,0,0
1,0,4,43,5.521460918,0,0,0,0,1,0,0
1,0,4.3,275,4.605170186,0,0,0,0,1,0,0
1,0,3.7,323,6.745236349,0,0,0,0,0,0,0
1,0,3.1,28,5.991464547,0,0,0,0,0,0,0
